account_id,industry,employees,annual_revenue_m,account_tier,existing_customer,tech_stack_maturity,website_visits_30d,pricing_page_visits_30d,content_downloads_30d,competitor_page_visits_30d,decision_maker_engaged,num_stakeholders_engaged,days_since_last_visit,fit_score,intent_score,opportunity_created
ACC1000,Financial Services,481,99.1,Mid-Market,0,8.1,12,1,0,1,0,2,1,64.1,33.8,0
ACC1001,Education,566,110.3,Mid-Market,0,5.8,5,1,3,0,0,0,2,35.2,24.1,0
ACC1002,Manufacturing,503,57.8,Mid-Market,0,4.4,2,3,1,2,1,1,13,30.0,46.6,0
ACC1003,Healthcare,274,38.3,Mid-Market,0,6.5,10,2,1,2,0,2,3,34.9,44.7,0
ACC1004,Technology,189,19.2,Mid-Market,0,3.9,4,2,3,1,0,0,15,47.6,28.3,0
ACC1005,Technology,201,20.5,Mid-Market,0,8.5,12,4,1,0,0,5,15,63.0,53.7,1
ACC1006,Technology,189,36.8,Mid-Market,0,8.2,14,4,4,0,0,1,2,61.9,61.7,1
ACC1007,Retail,1068,241.3,Enterprise,0,4.6,4,3,1,0,0,0,0,35.7,27.3,0
ACC1008,Healthcare,529,128.9,Mid-Market,0,4.2,5,2,1,0,0,3,1,29.6,31.3,0
ACC1009,Manufacturing,5,0.9,SMB,0,1.0,4,3,0,0,1,4,13,14.4,44.7,0
ACC1010,Technology,574,63.9,Mid-Market,0,2.5,6,1,1,0,0,0,18,46.4,11.5,0
ACC1011,Education,315,30.9,Mid-Market,0,2.8,9,1,0,0,0,2,4,23.1,23.3,0
ACC1012,Retail,238,51.9,Mid-Market,1,5.8,6,0,1,1,0,4,1,21.3,28.9,0
ACC1013,Technology,147,26.2,Mid-Market,0,4.8,7,1,0,1,0,3,0,50.2,29.8,0
ACC1014,Technology,1055,195.3,Enterprise,0,2.8,2,3,2,3,0,4,2,51.6,53.9,0
ACC1015,Technology,838,178.4,Mid-Market,0,4.9,9,2,0,0,1,4,38,56.7,36.4,0
